episode,steps_done,timestep,total_reward,loss
278,15255,18,0.0,"tensor(1.1717, grad_fn=<SmoothL1LossBackward0>)"
279,15380,124,20.0,"tensor(0.2251, grad_fn=<SmoothL1LossBackward0>)"
280,15543,162,130.0,"tensor(0.0828, grad_fn=<SmoothL1LossBackward0>)"
281,15550,6,0.0,"tensor(0.1269, grad_fn=<SmoothL1LossBackward0>)"
282,15556,5,0.0,"tensor(0.2079, grad_fn=<SmoothL1LossBackward0>)"
283,15935,378,30.0,"tensor(0.3914, grad_fn=<SmoothL1LossBackward0>)"
284,15983,47,15.0,"tensor(0.0604, grad_fn=<SmoothL1LossBackward0>)"
285,16006,22,0.0,"tensor(0.3361, grad_fn=<SmoothL1LossBackward0>)"
286,16048,41,40.0,"tensor(0.1982, grad_fn=<SmoothL1LossBackward0>)"
287,16052,3,0.0,"tensor(1.9128, grad_fn=<SmoothL1LossBackward0>)"
288,16090,37,10.0,"tensor(0.0935, grad_fn=<SmoothL1LossBackward0>)"
289,16121,30,10.0,"tensor(0.2774, grad_fn=<SmoothL1LossBackward0>)"
290,16150,28,30.0,"tensor(0.1500, grad_fn=<SmoothL1LossBackward0>)"
291,16261,110,60.0,"tensor(0.0805, grad_fn=<SmoothL1LossBackward0>)"
292,16278,16,20.0,"tensor(0.9403, grad_fn=<SmoothL1LossBackward0>)"
293,16308,29,20.0,"tensor(0.0219, grad_fn=<SmoothL1LossBackward0>)"
294,16341,32,0.0,"tensor(0.0522, grad_fn=<SmoothL1LossBackward0>)"
295,16369,27,0.0,"tensor(0.0611, grad_fn=<SmoothL1LossBackward0>)"
296,16373,3,0.0,"tensor(0.0747, grad_fn=<SmoothL1LossBackward0>)"
297,16626,252,140.0,"tensor(0.0121, grad_fn=<SmoothL1LossBackward0>)"
298,16688,61,10.0,"tensor(1.0542, grad_fn=<SmoothL1LossBackward0>)"
299,16696,7,0.0,"tensor(0.5101, grad_fn=<SmoothL1LossBackward0>)"
300,16703,6,0.0,"tensor(0.2175, grad_fn=<SmoothL1LossBackward0>)"
301,16709,5,0.0,"tensor(0.1682, grad_fn=<SmoothL1LossBackward0>)"
302,16729,19,0.0,"tensor(0.1974, grad_fn=<SmoothL1LossBackward0>)"
303,16737,7,0.0,"tensor(0.0202, grad_fn=<SmoothL1LossBackward0>)"
304,16742,4,0.0,"tensor(0.9224, grad_fn=<SmoothL1LossBackward0>)"
305,16763,20,20.0,"tensor(0.0415, grad_fn=<SmoothL1LossBackward0>)"
306,16775,11,0.0,"tensor(1.8954, grad_fn=<SmoothL1LossBackward0>)"
307,16805,29,10.0,"tensor(0.0317, grad_fn=<SmoothL1LossBackward0>)"
308,16873,67,60.0,"tensor(1.0592, grad_fn=<SmoothL1LossBackward0>)"
309,16962,88,40.0,"tensor(0.2875, grad_fn=<SmoothL1LossBackward0>)"
310,17007,44,10.0,"tensor(0.2721, grad_fn=<SmoothL1LossBackward0>)"
311,17012,4,0.0,"tensor(0.0266, grad_fn=<SmoothL1LossBackward0>)"
312,17065,52,30.0,"tensor(0.0919, grad_fn=<SmoothL1LossBackward0>)"
313,17256,190,50.0,"tensor(1.1851, grad_fn=<SmoothL1LossBackward0>)"
314,17266,9,0.0,"tensor(0.1855, grad_fn=<SmoothL1LossBackward0>)"
